,0
0,-823.1493400263779
1,336.07377200456745
2,-642.6181594870254
3,621.5570177340958
4,-1019.2196000705077
5,4158.486091428053
6,-908.0276421875699
7,282.824764491475
8,-975.3668549029436
9,67.70750999396205
10,-85.3114929615399
11,1765.1682832380038
12,-37.03921632720335
13,67.44489872854865
14,-1080.1097667524023
15,1189.7127590233956
16,396.88169106605187
17,1530.8234296590663
18,1118.242411676288
19,2624.615289731383
20,279.560789687873
21,200.33439370892825
22,-43.57268736392609
23,4008.13544416876
24,214.5986327385359
25,190.65929540393455
26,2447.8119705663657
27,-660.0914684812727
28,3125.245674999438
29,234.36548689423262
30,1163.9210518875036
