,0
0,-2171.5532533591327
1,-1049.3031759191022
2,-1058.126053006302
3,-2189.5891328964694
4,-1401.9089549491432
5,3238.3671690929896
6,-2801.801483279948
7,-1974.0163656448483
8,-2767.0321518085884
9,-1258.8342771467505
10,-2079.2315791692663
11,1053.637920811158
12,-1419.1201140441517
13,-1416.397247797268
14,-1404.014892651108
15,-120.80268350742926
16,-1031.5624732243703
17,592.159529819699
18,627.5696375236871
19,2250.6565065405903
20,-1314.836998707546
21,-1421.7571523786373
22,-606.529229750369
23,-606.8548362748706
24,-1962.2526242275892
25,20.924472916667582
26,630.0999321381687
27,-1013.8717550861418
28,106.02357826245407
29,-1669.9625579290114
30,494.76386801571607
