,0
0,-1364.5422160463572
1,-157.06685029694222
2,-406.6987277016249
3,-967.0738699229864
4,-897.80089775978
5,3868.9703383822643
6,-2289.7160276398927
7,-692.0320717440384
8,-2182.243377219157
9,-546.6053402063103
10,-1706.7415053649827
11,1366.7127717260519
12,-1123.3897374771086
13,-284.35359446828807
14,-706.2773261726218
15,1045.2475648147997
16,95.44003842161601
17,1048.01750958567
18,809.3268496400922
19,2674.1175964847394
20,-1209.6063702887388
21,-1368.3915073465964
22,-191.36012017161988
23,2077.9095041599585
24,-303.8244271792321
25,271.5770879885018
26,984.0712813644482
27,-590.7151496629684
28,2812.549525445857
29,-795.5897837037
30,1011.9524719609481
