"","15_24","25_44","45_64","65_89","White","Mixed","Asian","Black","Other","unemployed","emplyment","nonstudent","student"
"1",25792.0285131,58785.459048,36975.072213,18470.422953,109037.719971,7925.3725779,29772.024336,37363.344417,2930.557401,14180.2395336,172848.7604664,186398.2446975,630.7553025
"2",44636.7601024,115661.75531,79544.339164,44685.814316,229291.622166,17224.5004114,66130.943556,27519.69986,17370.98373,15339.4885678,342198.5114322,355841.2676672,1696.7323328
"3",30762.597131,61391.81476,58919.75488,35624.89683,190598.144488,5413.0662604,15293.950122,19689.654338,1778.858908,10407.3022626,222366.6977374,232258.7081962,515.2918038
"4",42928.6603555,111353.43639,65947.39298,31593.261345,113253.447215,15827.199458,106336.595975,58826.021265,18001.236495,17674.5345515,294570.4654485,310560.4070005,1684.5929995
"5",34158.921399,86342.086404,80839.380078,49493.301534,261849.81618,10937.9292678,16127.379774,18756.219384,2882.872782,12105.9849726,298448.0150274,310421.1139434,132.8860566
"6",34346.6451678,85398.597914,42770.166971,22856.03495,145888.629516,12307.9693184,35405.615777,18039.430955,8445.398451,9512.0721052,210574.9278948,214847.3667823,5239.6332177
"7",47343.2464395,110566.67094,87863.139045,42521.37714,200986.79832,23989.50477,59862.858165,73545.609555,6430.22919,20162.4130125,344652.5869875,364012.479963,802.520037
"8",43335.826824,121754.34605,72884.6472,34682.301882,166241.80459,15104.4948472,100695.501268,36954.348426,20317.783006,17588.3072586,321725.6927414,337741.618924,1572.381076
"9",42435.472968,95589.44028,70837.54914,37173.985155,191536.13859,17263.787946,35057.12145,53939.369895,16138.456545,18978.4067355,294956.5932645,313123.4466315,811.5533685
"10",36179.1775647,88016.959296,52631.797347,24909.337017,159580.302426,12318.6493593,30002.646105,48831.998688,4749.173487,15618.6210771,239864.3789229,253730.8209411,1752.1790589
"11",35224.9922466,103023.232962,42908.32338,16834.082928,135115.613568,15927.7654068,25962.76137,57068.638614,13107.319914,17126.5239522,230055.4760478,245555.8390584,1626.1609416
"12",25188.2654775,78859.29702,33916.16061,15694.831125,124189.399275,10041.3531765,16630.59153,21499.3188,10084.282485,8099.9194425,174345.0805575,179805.3310065,2639.6689935
"13",33167.635422,99659.57784,51050.75904,21575.75328,154714.64868,16587.86802,24208.32636,47945.18142,12083.97552,14681.53962,240858.46038,254158.985178,1381.014822
"14",31357.9190631,73141.758375,56930.682781,32254.523385,101600.486043,9556.3480145,102422.511625,19826.978059,7092.556009,10697.4917196,229801.5082804,239771.2259761,727.7740239
"15",30422.6786112,61129.632402,62596.928211,40535.385063,208558.242828,4947.454038,11578.717455,11514.715092,1327.870587,11093.5605093,226833.4394907,237797.2584069,129.7415931
"16",41200.8203502,82544.183883,62574.08787,33713.363628,166978.290906,10538.8009965,69648.075693,20196.556191,8137.138464,12074.0742738,263424.9257262,273107.2829814,2391.7170186
"17",33416.4429848,91331.421655,54463.114134,25892.425536,131003.416322,10388.530177,87590.36793,16877.187108,9067.498463,11613.7348317,243313.2651683,253608.0586874,1318.9413126
"18",31276.972957,87244.733905,38699.066,17361.564455,140624.07193,13349.362462,19048.76947,26314.333455,6948.297655,10981.953288,195303.046712,203440.6392775,2844.3607225
"19",17752.3756286,61624.047157,36620.86391,18141.419887,111735.967068,8963.4632408,15821.143725,10307.045881,11423.348435,6454.0454836,151796.9545164,156586.5951075,1664.4048925
"20",23424.0250028,51398.400012,36669.893904,19196.96958,119498.989804,6283.7326376,26213.477604,4030.473192,4409.262588,4917.3954872,155518.6045128,157241.8475888,3194.1524112
"21",40947.4878749,131026.395287,57143.776156,22380.571424,173821.504318,23266.611134,21034.460923,78903.510821,7455.217285,17499.3756168,286981.6243832,302469.3549292,2011.6450708
"22",37150.9834558,101646.492706,57762.620288,25020.240548,148249.619346,20550.1289024,25631.442714,75227.992196,7278.761454,16618.5508916,260319.4491084,275225.1938576,1712.8061424
"23",22958.363183,73852.967895,43643.972547,22043.486017,130157.621118,9373.7207431,36296.879199,20899.588745,3815.130032,7716.1927395,192826.8072605,199911.5101473,631.4898527
"24",53423.056466,117979.76736,51964.48434,19983.37882,89933.12142,14057.101018,134971.24316,60740.56762,10757.74946,21741.606938,288718.393062,304982.86468,5477.13532
"25",37151.3155725,88810.231765,62074.892815,31869.67212,119677.2935,11555.5700935,117515.898505,25061.0387,7585.28362,15222.9911285,266172.0088715,280159.8729265,1235.1270735
"26",18282.1384989,62119.818966,46683.721488,23828.305782,161186.582526,6799.4664822,13646.152263,2824.15662,3070.754625,5196.560697,182330.439303,186857.5473627,669.4526373
"27",43026.5417439,116421.954363,56431.758669,21426.266004,156584.510082,17804.7731862,27232.942308,77627.628507,9467.319147,17007.9431379,271709.0568621,284528.4958659,4188.5041341
"28",22257.7641094,57934.159375,47857.581446,26002.857519,150216.94431,7170.6482755,22148.097732,9166.832449,2420.381672,7339.8685797,183783.1314203,191061.8788646,61.1211354
"29",45784.0084248,111234.397868,35465.34236,15149.254088,115684.910476,10438.121264,105289.031192,18769.51978,5830.6733,17658.1972892,238353.8027108,251021.0716612,4990.9283388
"30",36052.3454452,92562.95783,53049.965822,24449.51446,135578.310966,13845.5732842,54703.483394,45049.912222,10564.746108,16065.0686742,243676.9313258,258087.44346,1654.55654
"31",36186.265206,141348.43476,54323.1234,25632.55071,219726.4797,15276.509118,33415.76745,32832.34929,6459.14061,10781.666064,296928.333936,305434.48455,2275.51545
