"","15_24","25_44","45_64","65_89","White","Mixed","Asian","Black","Other","unemployed","emplyment","nonstudent","student"
"1",68388.7178226,126716.699916,143525.46132,88796.183436,503525.669742,3092.4817302,4853.436234,700.749804,821.816388,24386.8626702,488607.1373298,509516.7727698,3477.2272302
"2",12481.3908336,27529.233072,28250.371792,17632.316832,101614.252768,1146.219904,2205.438592,357.085088,261.003648,5822.376888,99761.623112,105559.1138512,24.8861488
"3",12240.9171144,22505.662584,25179.437664,15074.8056,89957.636208,550.3547232,1304.88696,170.086536,105.072408,7585.7766264,84502.2233736,92056.1191344,31.8808656
"4",21747.2432128,35167.749248,34584.943232,19877.670144,122016.223232,2361.24992,10764.615296,1730.430208,1495.481344,11487.65728,126880.34272,136713.4784768,1654.5215232
"5",16925.3982768,31744.887368,37792.395056,25269.58562,133190.200108,852.9118728,868.969356,122.053092,130.027768,9775.7633328,125388.2366672,135139.062242,24.937758
"6",25498.3394768,50193.051488,51357.231344,28931.279328,181501.566912,1999.2280928,6639.412288,1134.255312,549.57576,11800.9741152,180023.0258848,191329.6503696,494.3496304
"7",58181.8347836,74629.758984,62840.633812,36672.409708,238605.51902,4262.43257,27002.151,5140.037364,4081.999592,14569.2443116,264522.7556884,267880.9580876,11211.0419124
"8",22411.9540486,54164.051582,55890.600268,33806.028502,194416.30353,1818.6607928,3822.712794,735.40793,412.874712,10112.7544042,191093.2455958,201146.5033858,59.4966142
"9",18944.693532,36346.11084,42041.535,25775.498424,142134.46602,1325.32698,3311.909892,420.04494,972.252168,10354.2485268,137809.7514732,147974.2908144,189.7091856
"10",37472.220269,69754.30484,76503.1938,45178.07371,264113.0558,1776.869688,7331.21191,1272.29993,836.45254,17293.862762,258036.137238,273773.531977,1556.468023
"11",19958.7080958,41860.611843,34640.479857,18283.775682,102125.192166,1825.0700514,41541.229752,934.078182,1231.45938,8124.0586086,139532.9413914,147582.3446208,74.6553792
"12",17178.75072,35437.73568,38513.05728,25934.71488,137353.56672,1753.181952,2282.23104,346.10688,344.97024,8637.32736,133442.67264,141960.809088,119.190912
"13",40760.7178144,91216.997648,105846.98168,68142.759744,358528.775728,3879.381504,6070.060528,1404.347968,853.434272,12014.7381408,358721.2618592,370333.75144,402.24856
"14",39606.0265134,82833.280146,91785.183462,58369.599432,320945.14296,3049.2358884,4096.00818,907.84413,527.900652,11868.9333732,317657.0666268,328086.2020482,1439.7979518
"15",16102.8383538,33138.684814,34693.363066,17847.620842,123017.468336,1355.7357592,942.915,259.993096,145.963242,7211.7785138,118510.2214862,125703.1291278,18.8708722
"16",24653.3469546,54960.49117,54558.519223,31063.735287,194453.473266,2149.1005471,4922.585356,695.697288,488.123272,7874.4946267,194834.5053733,202573.2863245,135.7136755
"17",10402.3437516,22373.07912,28530.5463,19169.402328,95406.74478,426.0992364,477.108468,73.008108,61.049052,3577.686624,92866.313376,96432.6099636,11.3900364
"18",8475.2152576,17040.327616,19214.348608,12358.468928,67909.532288,359.8370048,632.760128,69.953728,83.972096,3243.145984,65812.854016,69038.3078528,17.6921472
"19",13120.03212,27245.55735,29948.33865,18986.31855,105431.90025,534.75261,1247.462325,146.918325,113.9235,3871.6471575,103603.3528425,106928.0919675,546.9080325
"20",8030.7631009,17090.815849,21011.108738,12880.387244,69514.62475,339.1155405,629.215943,84.04613,60.03295,3178.7658906,67448.2341094,70615.4383601,11.5616399
"21",5410.6356116,11525.396546,16130.97699,11055.923662,51937.656002,210.7535284,291.64861,21.998338,39.954022,1085.688858,51416.311142,52413.140365,88.859635
"22",10075.3549545,22311.881403,31550.739156,23899.62372,102016.151607,633.3338058,787.389096,183.053445,93.030561,1985.8757814,101727.1242186,103668.4448952,44.5551048
"23",36058.9617888,75143.333856,69940.706304,40939.426848,227062.720416,4901.0126928,38820.608112,4660.513872,1851.505392,14283.1842048,263012.8157952,276759.848184,536.151816
"24",22276.2838626,49696.062752,49079.905446,28367.340936,165354.889472,3371.5838526,13433.267634,1896.681638,1365.63303,8301.435651,177120.564349,185365.0383616,56.9616384
"25",105253.2145134,167959.712862,90392.611284,45376.84746,334959.385806,23150.6409582,85947.460506,43464.311154,15380.251866,28921.3408278,473980.6591722,486875.4184836,16026.5815164
"26",29676.4806495,60191.445967,54993.471465,31541.343502,174527.521509,4061.6971858,43214.833324,2800.277609,552.535278,12582.2459897,212574.7540103,225059.1017364,97.8982636
"27",28461.1534053,57086.890872,53659.151226,29673.238935,173061.857187,3572.8686252,31664.31189,2773.090965,856.828947,12950.8964184,198978.1035816,211868.4942705,60.5057295
"28",34722.131499,69955.210171,54189.9457,31774.160935,211361.423086,4626.9209327,9451.233022,6556.491007,2490.955401,12523.716183,221963.283817,233046.8746408,1440.1253592
"29",32056.2801907,72959.457981,77309.091049,48714.134193,260798.684931,5103.5959034,13760.713993,1957.844736,1631.820533,11086.7490224,272166.2509776,283225.1279048,27.8720952
"30",27782.3258254,59310.689383,58373.993182,32903.239342,199795.344103,3164.7938991,14579.765358,1787.259418,399.683413,11519.8911014,208207.1088986,219703.8627469,23.1372531
"31",25359.0702972,63127.664544,59173.783143,34673.389335,194272.944135,6044.6628198,18013.766484,6554.754624,2205.05361,8480.7361041,218610.2638959,226999.6639998,91.3360002
"32",38913.6055938,86360.261218,85111.95049,49973.78498,309458.583574,2758.3722376,3522.246784,1679.366038,703.685864,15867.4163648,302254.5836352,318070.6869214,51.3130786
"33",11110.6269648,22722.923784,23019.876968,13472.814696,76030.371912,975.6983456,9575.086576,210.965568,239.947224,4822.9043896,82209.0956104,87013.462184,18.537816
"34",12312.8754265,28664.179038,30262.658525,17278.03869,104255.463818,1020.1348256,1717.044769,402.605522,195.81562,3436.9514586,104154.0485414,107574.2373222,16.7626778
"35",7513.6653966,16643.545776,22267.79676,17495.386788,74176.373304,745.341861,848.797092,163.762896,163.762896,2265.7494618,73832.2505382,76091.455572,6.544428
"36",10297.38416,21566.430907,20455.015805,12270.83466,70615.777869,694.4048741,8986.368636,105.760837,146.679729,3871.748783,76677.251217,80520.8561794,28.1438206
"37",24369.3666972,32131.365105,34730.844708,24079.607622,131814.055023,1350.5964885,3717.224133,625.440774,315.752493,4667.2105074,133155.7894926,135773.1309564,2049.8690436
"38",11222.5918632,23758.869512,23016.821928,13759.052752,71536.020632,947.310988,16830.345064,126.212584,136.15552,4357.8634424,85218.1365576,89568.8070472,7.1929528
"39",24485.1926472,38824.929556,32343.790652,18425.50424,112296.277578,3322.4870366,21709.07027,1674.205516,1051.945594,6215.2043688,133838.7956312,137900.8938364,2153.1061636
"40",6260.5431956,12622.229688,17029.531372,11047.845528,56060.565752,361.0083504,731.04592,92.24012,47.151316,1167.0724152,56124.9275848,57284.8499584,7.1500416
"41",8186.55813040001,17913.659243,19103.906213,10114.581284,63844.60248,602.6297309,3399.519562,123.107877,83.092713,2989.8473073,65063.1526927,68041.2880787,11.7119213
"42",12836.6394501,28176.995756,30139.196688,18708.273531,105967.366446,1175.333465,1613.913542,268.257717,156.12883,3209.2881502,105971.7118498,109164.4263242,16.5736758
"43",14910.7623171,25151.540375,31085.921191,20063.71146,108536.29423,865.467408,912.479633,173.889924,128.868805,4527.6533653,106089.3466347,109763.8663875,853.1336125
"44",11943.5704908,22573.104736,30574.83572,25464.527244,105795.974648,663.65195,992.489472,129.984244,109.953532,3370.9642148,104321.0357852,107655.5570272,36.4429728
"45",19970.5460765,36600.497065,39681.676619,22339.500136,141867.760729,1913.1239069,1403.149151,504.970283,214.039701,10188.6691154,135714.3308846,145900.6217811,2.3782189
"46",85068.8785816,131766.212664,110911.343048,62940.39324,413996.12336,11736.85948,19371.755256,12288.196184,8263.531376,32201.4628024,433454.5371976,457694.213712,7961.786288
